user_request,ground_truth,llm_response
What is the average house price in the dataset?,"Mean price value with supporting statistics (median, std dev)",ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
How many rows and columns are in the housing dataset?,"Dataset dimensions: 545 rows, 13 columns",ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What is the price range of houses?,Minimum and maximum price values with range calculation,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
Show me the distribution of bedrooms in the housing data,Bedroom count distribution with frequencies or percentages,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What are the key statistics for the housing dataset?,"Summary statistics including mean, median, std dev for numerical features",ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
How many coffee shop sales records are there?,"Total row count: 149,116 records",ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What is the average coffee sales amount?,"Mean sales value with context (median, range)",ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What time period does the coffee shop data cover?,Date range or temporal span of the dataset,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What are the most common products sold?,Top product types/categories with frequencies or counts,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What is the distribution of sales by product type?,Breakdown of sales counts or revenue by product category,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
Summarize the numerical features in the housing data,"Statistical summary table with mean, median, min, max, std for all numeric columns",ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What is the median house price?,Median price value with comparison to mean,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
How many unique product types are in the coffee shop data?,Count of distinct product categories,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What are the coffee shop sales statistics?,"Summary statistics for sales amount including mean, median, std dev, quartiles",ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What is the standard deviation of house prices?,Standard deviation value with interpretation of price variability,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
Which day of the week has the most coffee sales?,Sales volume by day of week with rankings,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What percentage of houses have 3 bedrooms?,Percentage and count of 3-bedroom properties,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What is the correlation between house size and price?,Correlation coefficient between square footage/area and price,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
What are the minimum and maximum coffee sales amounts?,Min and max sales values with context,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
How many missing values are in each dataset?,Count of null/missing values per column for both datasets,ERROR: An error occurred (ValidationException) when calling the InvokeModel operation: This model's maximum context length is 131072 tokens. Please reduce the length of the prompt
