user_request,ground_truth
"What is the average house price in the dataset?","Mean: $4,766,729.25"
"How many rows and columns are in the housing dataset?","545 rows, 13 columns"
"What is the price range of houses?","Min: $1,750,000.00, Max: $13,300,000.00, Range: $11,550,000.00"
"Show me the distribution of bedrooms in the housing data","1 bedroom: 2, 2 bedrooms: 136, 3 bedrooms: 300, 4 bedrooms: 95, 5 bedrooms: 10, 6 bedrooms: 2"
"What are the key statistics for the housing dataset?","Price - Mean: $4,766,729.25, Median: $4,340,000.00, Std: $1,870,439.62; Area, bedrooms, bathrooms, stories statistics"
"How many coffee shop sales records are there?","1000 records"
"What is the average coffee sales amount?","Mean: $4.40"
"What time period does the coffee shop data cover?","2023-01-01 to 2023-01-02"
"What are the most common products sold?","Coffee: 444, Tea: 344, Bakery: 132, Drinking Chocolate: 80"
"What is the distribution of sales by product type?","Coffee (44.4%), Tea (34.4%), Bakery (13.2%), Drinking Chocolate (8.0%)"
"Summarize the numerical features in the housing data","Price mean: $4.77M, Area, Bedrooms (2-3 most common), Bathrooms, Stories - all numerical summaries"
"What is the median house price?","$4,340,000.00 (Mean: $4,766,729.25 - median is lower, indicating right-skewed distribution)"
"How many unique product types are in the coffee shop data?","4 unique product categories"
"What are the coffee shop sales statistics?","Mean: $4.40, Median: $3.88, Std Dev: $1.71, Min: $2.00, Max: $9.50s"
"What is the standard deviation of house prices?","$1,870,439.62 (indicates significant price variability)"
"Which day of the week has the most coffee sales?","Sunday with 550 sales (followed by Monday: 450)"
"What percentage of houses have 3 bedrooms?","55.05% (300 out of 545 houses)"
"What is the correlation between house size and price?","0.5360 (moderate positive correlation between area and price)"
"What are the minimum and maximum coffee sales amounts?","Min: $2.00, Max: $9.50"
"How many missing values are in each dataset?","Housing: 0 missing values, Coffee: 0 missing values"
